penalty_set,session_id,adversarial,final_trust,mfa_triggers,restrict_hits,block_hits
"Set B (α=0.06, baseline)",101,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",102,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",103,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",104,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",105,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",106,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",107,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",108,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",109,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",110,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",111,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",112,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",113,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",114,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",115,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",116,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",117,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",118,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",119,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",120,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",121,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",122,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",123,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",124,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",125,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",126,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",127,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",128,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",129,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",130,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",131,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",132,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",133,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",134,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",135,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",136,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",137,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",138,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",139,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",140,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",141,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",142,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",143,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",144,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",145,FALSE,1,0,0,0
